K,Accuracy
1,0.7805555555555556
3,0.7483333333333333
5,0.7304166666666667
7,0.7170833333333334
9,0.7074999999999999
11,0.7015277777777778
13,0.6947222222222222
15,0.6886111111111112
17,0.6845833333333333
19,0.6798611111111111
21,0.6768055555555557
23,0.6743055555555555
25,0.6713888888888888
27,0.66875
29,0.6661111111111111
31,0.6645833333333333
33,0.6615277777777778
35,0.6591666666666667
37,0.6573611111111111
39,0.6554166666666666
41,0.65375
43,0.6518055555555555
45,0.6508333333333333
47,0.6491666666666667
49,0.6480555555555556
51,0.6468055555555555
53,0.6458333333333333
55,0.6447222222222223
57,0.6436111111111111
59,0.6436111111111111
61,0.6416666666666666
63,0.6411111111111112
65,0.6391666666666665
67,0.6383333333333333
69,0.6372222222222221
71,0.6363888888888889
73,0.6358333333333333
75,0.6344444444444445
77,0.6331944444444444
79,0.6320833333333333
81,0.6316666666666666
83,0.6308333333333334
85,0.6295833333333334
87,0.6288888888888889
89,0.6273611111111111
91,0.6269444444444444
93,0.62625
95,0.6256944444444444
97,0.6259722222222223
99,0.624861111111111
